release_date,title,genre,region,want_to_see,url
2025-11-14,鬼灭之刃：无限城篇 第一章 猗窝...,"['动作', '动画', '奇幻']",['日本'],33687,https://movie.douban.com/subject/36524559/
2025-11-15,三滴血,"['剧情', '犯罪']",['中国大陆'],17413,https://movie.douban.com/subject/30286126/
2025-11-15,菜肉馄饨,"['剧情', '喜剧', '爱情']",['中国大陆'],4856,https://movie.douban.com/subject/37071133/
2025-11-15,红豆,['剧情'],['中国香港'],520,https://movie.douban.com/subject/36733067/
2025-11-16,永无止境,"['纪录片', '运动']",['中国大陆'],1373,https://movie.douban.com/subject/36942816/
2025-11-18,百川东到海,"['剧情', '儿童', '家庭']",['中国大陆'],1037,https://movie.douban.com/subject/35470200/
2025-11-18,顺流而上,"['剧情', '犯罪']",['中国大陆'],166,https://movie.douban.com/subject/36943030/
2025-11-18,神秘家书,['剧情'],['中国大陆'],157,https://movie.douban.com/subject/36659309/
2025-11-21,不该停止的追问,"['剧情', '犯罪']",['中国大陆'],99,https://movie.douban.com/subject/36563575/
2025-11-22,狂野时代,"['剧情', '科幻']",['中国大陆'],77733,https://movie.douban.com/subject/35416174/
2025-11-22,工作细胞,"['剧情', '喜剧', '奇幻']",['日本'],7803,https://movie.douban.com/subject/36248012/
2025-11-22,李子洲,"['剧情', '历史', '战争']",['中国大陆'],168,https://movie.douban.com/subject/37505577/
2025-11-25,隐者山河,"['纪录片', '音乐']",['中国大陆'],2503,https://movie.douban.com/subject/37000403/
2025-11-26,疯狂动物城2,"['喜剧', '犯罪', '动画']",['美国'],208406,https://movie.douban.com/subject/26817136/
2025-11-27,我的世界没有我,"['剧情', '家庭']",['中国大陆'],276,https://movie.douban.com/subject/37473361/
2025-11-28,死钻倒影,"['动作', '犯罪', '悬疑']","['比利时', '卢森堡']",4379,https://movie.douban.com/subject/36219474/
2025-11-28,皮囊,"['悬疑', '奇幻', '惊悚']",['中国大陆'],722,https://movie.douban.com/subject/35633783/
2025-11-28,英雄三元里,"['剧情', '历史', '战争']",['中国大陆'],208,https://movie.douban.com/subject/37395403/
2025-11-28,半夜叫你别回头2,"['惊悚', '恐怖']",['中国大陆'],96,https://movie.douban.com/subject/37515166/
2025-12-05,初吻,"['爱情', '奇幻']",['日本'],51098,https://movie.douban.com/subject/36894170/
2025-12-05,昨日青春,['剧情'],"['日本', '美国']",47553,https://movie.douban.com/subject/36960439/
2025-12-05,猎杀游戏,"['动作', '科幻', '惊悚']","['美国', '英国']",5219,https://movie.douban.com/subject/35443478/
2025-12-05,我最特别的朋友,"['剧情', '喜剧', '犯罪']",['中国大陆'],2201,https://movie.douban.com/subject/30286372/
2025-12-06,内幕,"['剧情', '动作', '犯罪']",['中国香港'],4043,https://movie.douban.com/subject/30174089/
2025-12-06,蜡笔小新：灼热的春日部舞者们,"['喜剧', '动画', '音乐']",['日本'],2980,https://movie.douban.com/subject/37161026/
2025-12-19,阿凡达：火与烬,"['动作', '科幻', '奇幻']",['美国'],93196,https://movie.douban.com/subject/5348089/
2025-12-31,无名之辈：意义非凡,"['喜剧', '犯罪']",['中国大陆'],22608,https://movie.douban.com/subject/36311677/
2025-12-31,寻秦记,"['悬疑', '古装']",['中国香港'],12920,https://movie.douban.com/subject/26389539/
2025-12-31,用武之地,"['剧情', '动作', '战争']",['中国大陆'],3250,https://movie.douban.com/subject/35461578/
2025-12-31,匿杀,"['犯罪', '悬疑']",['中国大陆'],2305,https://movie.douban.com/subject/36073533/
2025-12-31,不过是上班,"['喜剧', '奇幻']",['中国大陆'],191,https://movie.douban.com/subject/37193378/
2025-12-99,狂怒沙暴,"['喜剧', '动作', '惊悚']","['中国大陆', '美国']",4769,https://movie.douban.com/subject/27042557/
2025-12-99,我们意外的勇气,['剧情'],['中国台湾'],1329,https://movie.douban.com/subject/36953756/
2026-01-01,过家家,['剧情'],['中国大陆'],980,https://movie.douban.com/subject/36790513/
2026-01-01,海绵宝宝：深海大冒险,"['喜剧', '动画', '奇幻']",['美国'],893,https://movie.douban.com/subject/36389635/
2026-01-17,飞行家,"['剧情', '喜剧']",['中国大陆'],4208,https://movie.douban.com/subject/35700339/
2026-01-23,爆水管,"['喜剧', '犯罪']",['中国大陆'],937,https://movie.douban.com/subject/37134618/
2026-01-99,重返寂静岭,"['剧情', '奇幻', '恐怖']","['法国', '德国']",10481,https://movie.douban.com/subject/34965089/
2026-04-03,凌晨两点半3,"['惊悚', '恐怖']",['中国大陆'],81,https://movie.douban.com/subject/36990246/
2026-05-01,千金不换,"['剧情', '喜剧']",['中国大陆'],2548,https://movie.douban.com/subject/36918875/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],87132,https://movie.douban.com/subject/36212391/
