release_date,title,genre,region,want_to_see,url
2025-08-08,疯狂动物城,"['喜剧', '动画', '冒险']",['美国'],190337,https://movie.douban.com/subject/25662329/
2025-08-08,东极岛,"['剧情', '历史', '战争']",['中国大陆'],24048,https://movie.douban.com/subject/26660874/
2025-08-08,奇遇,['喜剧'],['中国大陆'],1687,https://movie.douban.com/subject/36522427/
2025-08-10,不再退缩,"['剧情', '运动']",['中国大陆'],345,https://movie.douban.com/subject/37053028/
2025-08-11,绑架毛乎乎,"['剧情', '犯罪']",['中国大陆'],3014,https://movie.douban.com/subject/26715452/
2025-08-11,妖怪森林,"['动画', '奇幻']",['中国台湾'],80,https://movie.douban.com/subject/36539493/
2025-08-15,山河为证,"['历史', '战争', '纪录片']",['中国大陆'],2066,https://movie.douban.com/subject/37355513/
2025-08-15,坪石先生,"['剧情', '传记']",['中国大陆'],1217,https://movie.douban.com/subject/36738997/
2025-08-15,生还,"['剧情', '战争']",['中国大陆'],502,https://movie.douban.com/subject/37296895/
2025-08-16,坏蛋联盟2,"['喜剧', '科幻', '犯罪']",['美国'],11764,https://movie.douban.com/subject/36829507/
2025-08-16,捕风追影,"['剧情', '动作', '犯罪']","['中国大陆', '中国香港']",6542,https://movie.douban.com/subject/36600459/
2025-08-16,非人哉：限时玩家,"['剧情', '喜剧', '动画']",['中国大陆'],1306,https://movie.douban.com/subject/37179769/
2025-08-16,夏雨来,"['剧情', '喜剧']",['中国大陆'],292,https://movie.douban.com/subject/36135242/
2025-08-22,再见，坏蛋,"['剧情', '喜剧']",['中国大陆'],246,https://movie.douban.com/subject/36590987/
2025-08-23,青蛇,"['剧情', '爱情', '奇幻']","['中国香港', '中国大陆']",148736,https://movie.douban.com/subject/1303394/
2025-08-23,赎梦,"['犯罪', '惊悚', '恐怖']",['中国香港'],3239,https://movie.douban.com/subject/35480795/
2025-08-28,无名指,['剧情'],"['中国香港', '中国大陆']",828,https://movie.douban.com/subject/36208097/
2025-08-29,7天,"['剧情', '爱情']",['中国大陆'],11622,https://movie.douban.com/subject/36208089/
2025-08-29,脱缰者也,"['喜剧', '犯罪']",['中国大陆'],6591,https://movie.douban.com/subject/36453173/
2025-08-29,有朵云像你,"['剧情', '爱情', '奇幻']",['中国大陆'],1534,https://movie.douban.com/subject/36638072/
2025-08-29,醉刀客,"['剧情', '动作', '古装']",['中国大陆'],53,https://movie.douban.com/subject/36847664/
2025-09-03,营救飞虎,"['剧情', '动作', '历史']",['中国大陆'],130,https://movie.douban.com/subject/37109678/
2025-09-13,轻于鸿毛,['剧情'],['中国大陆'],2115,https://movie.douban.com/subject/36782374/
2025-10-01,熊猫计划2,"['喜剧', '动作']",['中国大陆'],1272,https://movie.douban.com/subject/37211128/
2025-10-01,猪猪侠·一只老猪的逆袭,"['剧情', '喜剧', '动画']",['中国大陆'],726,https://movie.douban.com/subject/37282414/
2025-11-15,三滴血,"['剧情', '犯罪']",['中国大陆'],11284,https://movie.douban.com/subject/30286126/
2025-12-31,无名之辈：意义非凡,"['喜剧', '犯罪']",['中国大陆'],20612,https://movie.douban.com/subject/36311677/
2025-12-31,浪浪人生,['剧情'],['中国大陆'],2050,https://movie.douban.com/subject/36207392/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],84274,https://movie.douban.com/subject/36212391/
