release_date,title,genre,region,want_to_see,url
2025-04-30,水饺皇后,"['剧情', '传记']",['中国大陆'],9867,https://movie.douban.com/subject/33414470/
2025-05-01,幽灵公主,"['动画', '奇幻', '冒险']",['日本'],283259,https://movie.douban.com/subject/1297359/
2025-05-01,大风杀,"['剧情', '犯罪', '悬疑']",['中国大陆'],9836,https://movie.douban.com/subject/36512371/
2025-05-01,猎金游戏,"['剧情', '犯罪']","['中国大陆', '中国香港']",4528,https://movie.douban.com/subject/35929258/
2025-05-01,独一无二,['剧情'],['中国大陆'],4411,https://movie.douban.com/subject/36896644/
2025-05-01,苍茫的天涯是我的爱,"['剧情', '喜剧']",['中国大陆'],2102,https://movie.douban.com/subject/36978067/
2025-05-01,人生开门红,"['剧情', '喜剧']",['中国大陆'],1587,https://movie.douban.com/subject/36988926/
2025-05-01,熊孩子·探险熊兵,"['儿童', '动画', '冒险']",['中国大陆'],488,https://movie.douban.com/subject/36319998/
2025-05-01,开心超人之逆世营救,"['儿童', '科幻', '动画']",['中国大陆'],411,https://movie.douban.com/subject/36851305/
2025-05-01,海底小纵队：海啸大危机,"['喜剧', '科幻', '动画']",['中国大陆'],161,https://movie.douban.com/subject/37298398/
2025-05-01,宇宙护卫队：百变流星,"['科幻', '动画', '冒险']",['中国大陆'],54,https://movie.douban.com/subject/37302845/
2025-05-02,九龙城寨之围城,"['动作', '犯罪']","['中国香港', '中国大陆']",46301,https://movie.douban.com/subject/24284175/
2025-05-07,地上的云朵,['纪录片'],['中国大陆'],234,https://movie.douban.com/subject/36075486/
2025-05-09,祭屋,"['惊悚', '恐怖']",['中国大陆'],261,https://movie.douban.com/subject/37193368/
2025-05-10,攻壳机动队,"['动作', '科幻', '动画']",['日本'],166184,https://movie.douban.com/subject/1291936/
2025-05-10,日暮归乡,['纪录片'],"['中国大陆', '中国台湾']",1188,https://movie.douban.com/subject/33425279/
2025-05-13,内沙,['剧情'],['中国大陆'],439,https://movie.douban.com/subject/35967821/
2025-05-16,会计刺客2,"['剧情', '动作', '犯罪']",['美国'],6603,https://movie.douban.com/subject/27077476/
2025-05-20,情书,"['剧情', '爱情']",['日本'],525774,https://movie.douban.com/subject/1292220/
2025-05-23,星际宝贝史迪奇,"['剧情', '喜剧', '动作']",['美国'],7510,https://movie.douban.com/subject/30345743/
2025-05-30,时间之子,"['动画', '奇幻', '冒险']",['中国大陆'],3908,https://movie.douban.com/subject/36469477/
2025-05-30,红嫁衣,"['悬疑', '惊悚', '恐怖']",['中国大陆'],185,https://movie.douban.com/subject/36933869/
2025-05-31,私家侦探,"['剧情', '犯罪', '悬疑']",['中国香港'],3448,https://movie.douban.com/subject/36563406/
2025-05-31,潜艇总动员：冒险岛,"['动画', '奇幻', '冒险']",['中国大陆'],16,https://movie.douban.com/subject/37076031/
2025-05-99,蓝色巨星,"['剧情', '动画', '音乐']",['日本'],14766,https://movie.douban.com/subject/35634583/
2025-05-99,孤独摇滚(下),"['剧情', '动画', '音乐']",['日本'],2200,https://movie.douban.com/subject/36613553/
2025-06-28,人生会议,"['剧情', '喜剧', '奇幻']",['中国大陆'],478,https://movie.douban.com/subject/36217765/
2025-06-99,地球特派员,"['剧情', '喜剧', '科幻']",['美国'],16397,https://movie.douban.com/subject/36090458/
2025-06-99,新·驯龙高手,"['剧情', '喜剧', '动作']",['美国'],7740,https://movie.douban.com/subject/36247731/
2025-07-05,恶意,"['剧情', '悬疑']",['中国大陆'],1316,https://movie.douban.com/subject/36809947/
2025-07-11,八戒之天蓬下界,"['动画', '奇幻']",['中国大陆'],1885,https://movie.douban.com/subject/35623555/
2025-07-25,长安的荔枝,"['剧情', '喜剧', '古装']",['中国大陆'],10219,https://movie.douban.com/subject/36185502/
2025-07-31,731,"['剧情', '战争']",['中国大陆'],38822,https://movie.douban.com/subject/27605659/
2025-10-01,熊猫计划2,"['喜剧', '动作']",['中国大陆'],809,https://movie.douban.com/subject/37211128/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],80974,https://movie.douban.com/subject/36212391/
