release_date,title,genre,region,want_to_see,url
2026-01-30,闪灵,['恐怖'],"['英国', '美国']",139163,https://movie.douban.com/subject/1292225/
2026-01-30,庇护之地,"['动作', '惊悚']","['英国', '美国']",2041,https://movie.douban.com/subject/36892468/
2026-01-30,东北警察故事3,"['喜剧', '动作', '犯罪']",['中国大陆'],1208,https://movie.douban.com/subject/36977669/
2026-01-30,太空异种,"['科幻', '惊悚', '冒险']",['中国大陆'],51,https://movie.douban.com/subject/37295223/
2026-01-31,末日逃生2：迁移,"['动作', '科幻', '惊悚']","['英国', '美国']",2289,https://movie.douban.com/subject/35496209/
2026-01-31,没问题,"['剧情', '喜剧', '家庭']",['中国大陆'],2242,https://movie.douban.com/subject/34921171/
2026-01-31,非传统浪漫关系,"['剧情', '喜剧', '爱情']",['中国大陆'],1117,https://movie.douban.com/subject/37296908/
2026-02-14,爱乐之城,"['剧情', '爱情', '歌舞']",['美国'],318262,https://movie.douban.com/subject/25934014/
2026-02-14,藏地情书,"['剧情', '爱情']",['中国大陆'],6648,https://movie.douban.com/subject/25853741/
2026-02-14,喜欢上“欠欠”的你,"['剧情', '喜剧', '爱情']",['中国大陆'],1305,https://movie.douban.com/subject/36054516/
2026-02-14,只爱你,"['剧情', '爱情']",['中国大陆'],231,https://movie.douban.com/subject/36779597/
2026-02-14,遇见不同的遇见,"['剧情', '爱情']",['中国大陆'],52,https://movie.douban.com/subject/37395676/
2026-02-17,镖人：风起大漠,"['动作', '武侠', '古装']",['中国大陆'],20840,https://movie.douban.com/subject/36474027/
2026-02-17,惊蛰无声,"['剧情', '犯罪']",['中国大陆'],15665,https://movie.douban.com/subject/37242440/
2026-02-17,飞驰人生3,"['剧情', '喜剧', '运动']",['中国大陆'],8866,https://movie.douban.com/subject/37311135/
2026-02-17,熊出没·年年有熊,"['喜剧', '动画', '奇幻']",['中国大陆'],1976,https://movie.douban.com/subject/37427493/
2026-02-99,星河入梦,"['奇幻', '冒险']","['中国大陆', '中国香港']",5684,https://movie.douban.com/subject/36883105/
2026-02-99,熊猫计划2,"['喜剧', '动作']",['中国大陆'],2087,https://movie.douban.com/subject/37211128/
2026-02-99,年夜“犯”,"['剧情', '喜剧', '犯罪']",['中国大陆'],795,https://movie.douban.com/subject/37155804/
2026-03-06,暗黑新娘！,"['剧情', '爱情', '科幻']",['美国'],8931,https://movie.douban.com/subject/36503073/
2026-03-13,呼啸山庄,"['剧情', '爱情']","['美国', '英国']",13597,https://movie.douban.com/subject/36963690/
2026-03-14,奇迹梦之队,"['喜剧', '动画', '冒险']",['美国'],935,https://movie.douban.com/subject/36910970/
2026-03-14,上学路上之山海无阻,['纪录片'],['中国大陆'],133,https://movie.douban.com/subject/36650727/
2026-03-99,穿普拉达的女王,"['剧情', '喜剧']","['美国', '法国']",116525,https://movie.douban.com/subject/1482072/
2026-04-03,北回归线以北,['剧情'],['中国大陆'],424,https://movie.douban.com/subject/36941236/
2026-04-03,凌晨两点半3,"['惊悚', '恐怖']",['中国大陆'],164,https://movie.douban.com/subject/36990246/
2026-05-01,千金不换,"['剧情', '喜剧']",['中国大陆'],3005,https://movie.douban.com/subject/36918875/
2026-05-20,为我的心动买单,"['喜剧', '爱情']",['中国大陆'],1706,https://movie.douban.com/subject/37350266/
2026-05-20,错过了，遗憾吗？,"['喜剧', '爱情']",['中国大陆'],1462,https://movie.douban.com/subject/36117834/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],89854,https://movie.douban.com/subject/36212391/
