release_date,title,genre,region,want_to_see,url
2026-08-14,奥德赛,"['动作', '历史', '奇幻']","['美国', '英国']",174395,https://movie.douban.com/subject/36808876/
2026-08-14,逃出绝命街,"['动作', '科幻', '惊悚']",['美国'],21589,https://movie.douban.com/subject/36318703/
2026-08-17,最小的大片,"['儿童', '喜剧']",['中国大陆'],54,https://movie.douban.com/subject/37248641/
2026-08-19,机器人总动员,"['科幻', '动画', '冒险']",['美国'],390935,https://movie.douban.com/subject/2131459/
2026-08-19,不想失去你,"['剧情', '爱情']",['中国大陆'],1015,https://movie.douban.com/subject/36779597/
2026-08-19,偷偷喜欢你,"['剧情', '爱情']",['中国台湾'],774,https://movie.douban.com/subject/36994226/
2026-08-19,我想留在你身边,"['爱情', '奇幻']",['中国大陆'],765,https://movie.douban.com/subject/35390242/
2026-08-19,偷偷藏不住,"['剧情', '爱情']",['中国大陆'],710,https://movie.douban.com/subject/37452950/
2026-08-21,怒之杀,"['动作', '犯罪', '惊悚']","['英国', '美国']",3667,https://movie.douban.com/subject/36889088/
2026-08-22,大唐妖探,"['喜剧', '动画', '悬疑']",['中国大陆'],4289,https://movie.douban.com/subject/35464353/
2026-08-28,肖申克的救赎,"['犯罪', '剧情']",['美国'],517216,https://movie.douban.com/subject/1292052/
2026-08-28,密档,"['剧情', '悬疑']",['中国大陆'],1024,https://movie.douban.com/subject/35209727/
2026-08-29,时代宠儿,"['剧情', '爱情']",['中国大陆'],8,https://movie.douban.com/subject/38592284/
2026-09-04,杀死比尔：血色全传,"['动作', '犯罪']",['美国'],67973,https://movie.douban.com/subject/10756537/
2026-09-99,复仇者联盟4：终局之战,"['剧情', '动作', '科幻']",['美国'],201912,https://movie.douban.com/subject/26100958/
2026-10-23,象行记,['纪录片'],"['中国大陆', '新加坡']",587,https://movie.douban.com/subject/36464801/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],99298,https://movie.douban.com/subject/36212391/
2027-02-99,守密者,['剧情'],['中国大陆'],655,https://movie.douban.com/subject/37497264/
