release_date,title,genre,region,want_to_see,url
2026-06-19,大鱼海棠,"['剧情', '动画', '奇幻']",['中国大陆'],70812,https://movie.douban.com/subject/5045678/
2026-06-19,玩具总动员5,"['剧情', '喜剧', '动画']",['美国'],35734,https://movie.douban.com/subject/36238849/
2026-06-19,抓特务,"['剧情', '犯罪']",['中国大陆'],13399,https://movie.douban.com/subject/36812879/
2026-06-19,爱是愤怒,"['爱情', '犯罪']",['中国大陆'],6659,https://movie.douban.com/subject/37152802/
2026-06-19,绝密任务,"['动作', '战争', '犯罪']",['中国大陆'],2210,https://movie.douban.com/subject/34833849/
2026-06-19,北回归线以北,['剧情'],['中国大陆'],1251,https://movie.douban.com/subject/36941236/
2026-06-19,无微不至,"['剧情', '喜剧']",['中国大陆'],228,https://movie.douban.com/subject/37463047/
2026-06-21,爸爸，让我再爱你一次,"['剧情', '家庭']",['中国大陆'],70,https://movie.douban.com/subject/37380671/
2026-06-25,关索岭,"['动作', '历史', '战争']",['中国大陆'],475,https://movie.douban.com/subject/34786813/
2026-06-26,超级少女,"['动作', '科幻', '奇幻']",['美国'],10277,https://movie.douban.com/subject/36225840/
2026-06-26,四渡,"['历史', '战争']",['中国大陆'],5959,https://movie.douban.com/subject/37191746/
2026-06-26,心犬相随,"['剧情', '喜剧', '爱情']",['泰国'],2052,https://movie.douban.com/subject/37354866/
2026-06-27,爸爸,['剧情'],['中国香港'],16043,https://movie.douban.com/subject/36315000/
2026-06-27,一个部门的诞生,"['剧情', '喜剧', '犯罪']","['中国香港', '中国大陆']",1720,https://movie.douban.com/subject/36937765/
2026-06-27,小气鬼,['剧情'],['中国大陆'],358,https://movie.douban.com/subject/37457160/
2026-06-27,我的爱人,['爱情'],['中国大陆'],152,https://movie.douban.com/subject/37474709/
2026-06-27,幻影游船,"['科幻', '动画']",['中国大陆'],42,https://movie.douban.com/subject/38455489/
2026-06-30,蓝蓝的天上白云飘,['剧情'],['中国大陆'],369,https://movie.douban.com/subject/35619616/
2026-07-03,特立独行,"['剧情', '喜剧']",['中国大陆'],18767,https://movie.douban.com/subject/36953973/
2026-07-03,小黄人与大怪兽,"['喜剧', '科幻', '动画']",['美国'],9754,https://movie.douban.com/subject/36962219/
2026-07-03,魔方小姐,['剧情'],"['中国大陆', '中国香港']",3777,https://movie.douban.com/subject/36808520/
2026-07-03,开个玩笑,['剧情'],['中国大陆'],1450,https://movie.douban.com/subject/37942006/
2026-07-10,三国第一部：争洛阳,"['历史', '动画']",['中国大陆'],3647,https://movie.douban.com/subject/36752981/
2026-07-10,海洋奇缘：启航,"['喜剧', '动作', '奇幻']","['美国', '新西兰']",3389,https://movie.douban.com/subject/36343469/
2026-07-10,大圣崛起,"['动画', '奇幻', '冒险']",['中国大陆'],2846,https://movie.douban.com/subject/26822087/
2026-07-24,想你了,['剧情'],['中国大陆'],703,https://movie.douban.com/subject/37021936/
2026-07-24,八仙！,"['喜剧', '动画', '奇幻']",['中国大陆'],625,https://movie.douban.com/subject/36882191/
2026-07-25,澎湖海战,"['动作', '历史', '战争']",['中国大陆'],4,https://movie.douban.com/subject/35558234/
2026-07-29,蜘蛛侠：崭新之日,"['动作', '科幻', '奇幻']",['美国'],32776,https://movie.douban.com/subject/36246195/
2026-07-99,奥德赛,"['动作', '历史', '奇幻']","['美国', '英国']",77264,https://movie.douban.com/subject/36808876/
2026-08-07,年会不能停2！,['喜剧'],['中国大陆'],8974,https://movie.douban.com/subject/36850814/
2026-08-08,大唐妖探,"['喜剧', '动画', '悬疑']",['中国大陆'],1740,https://movie.douban.com/subject/35464353/
2026-08-08,汪汪队立大功大电影3：勇闯恐龙...,"['喜剧', '科幻', '动画']","['加拿大', '美国']",348,https://movie.douban.com/subject/36791178/
2026-08-14,逃出绝命街,"['动作', '科幻', '惊悚']",['美国'],10999,https://movie.douban.com/subject/36318703/
2026-08-15,那山那水,['纪录片'],['中国大陆'],85,https://movie.douban.com/subject/38502416/
2026-08-19,偷偷藏不住,"['剧情', '爱情']",['中国大陆'],444,https://movie.douban.com/subject/37452950/
2026-08-28,密档,"['剧情', '悬疑']",['中国大陆'],417,https://movie.douban.com/subject/35209727/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],95913,https://movie.douban.com/subject/36212391/
2027-02-99,守密者,['剧情'],['中国大陆'],436,https://movie.douban.com/subject/37497264/
