release_date,title,genre,region,want_to_see,url
2025-11-07,日掛中天,['剧情'],['中国大陆'],39536,https://movie.douban.com/subject/36964147/
2025-11-07,铁血战士：杀戮之地,"['科幻', '恐怖']",['美国'],11503,https://movie.douban.com/subject/36707378/
2025-11-07,小林家的龙丫头：怕寂寞的龙,"['剧情', '喜剧', '动画']",['日本'],2437,https://movie.douban.com/subject/37037980/
2025-11-07,不要错过你,"['剧情', '爱情']",['中国台湾'],400,https://movie.douban.com/subject/36642490/
2025-11-08,走到尽头,"['动作', '犯罪']",['日本'],1783,https://movie.douban.com/subject/36171368/
2025-11-14,惊天魔盗团3,"['剧情', '动作', '犯罪']",['美国'],67986,https://movie.douban.com/subject/26404869/
2025-11-14,鬼灭之刃：无限城篇 第一章 猗窝...,"['动作', '动画', '奇幻']",['日本'],25967,https://movie.douban.com/subject/36524559/
2025-11-15,三滴血,"['剧情', '犯罪']",['中国大陆'],15890,https://movie.douban.com/subject/30286126/
2025-11-15,菜肉馄饨,"['剧情', '喜剧', '爱情']",['中国大陆'],3442,https://movie.douban.com/subject/37071133/
2025-11-15,红豆,['剧情'],['中国香港'],443,https://movie.douban.com/subject/36733067/
2025-11-18,百川东到海,"['剧情', '儿童', '家庭']",['中国大陆'],858,https://movie.douban.com/subject/35470200/
2025-11-18,神秘家书,['剧情'],['中国大陆'],133,https://movie.douban.com/subject/36659309/
2025-11-22,狂野时代,"['剧情', '科幻']",['中国大陆'],73901,https://movie.douban.com/subject/35416174/
2025-11-22,李子洲,"['剧情', '历史', '战争']",['中国大陆'],83,https://movie.douban.com/subject/37505577/
2025-11-25,隐者山河,"['纪录片', '音乐']",['中国大陆'],2244,https://movie.douban.com/subject/37000403/
2025-11-26,疯狂动物城2,"['喜剧', '犯罪', '动画']",['美国'],197469,https://movie.douban.com/subject/26817136/
2025-11-28,皮囊,"['悬疑', '奇幻', '惊悚']",['中国大陆'],625,https://movie.douban.com/subject/35633783/
2025-11-28,英雄三元里,"['剧情', '历史', '战争']",['中国大陆'],153,https://movie.douban.com/subject/37395403/
2025-11-28,半夜叫你别回头2,"['惊悚', '恐怖']",['中国大陆'],85,https://movie.douban.com/subject/37515166/
2025-12-19,阿凡达：火与烬,"['动作', '科幻', '奇幻']",['美国'],91321,https://movie.douban.com/subject/5348089/
2025-12-31,无名之辈：意义非凡,"['喜剧', '犯罪']",['中国大陆'],22372,https://movie.douban.com/subject/36311677/
2025-12-31,寻秦记,"['悬疑', '古装']",['中国香港'],12609,https://movie.douban.com/subject/26389539/
2025-12-31,用武之地,"['剧情', '动作', '战争']",['中国大陆'],3027,https://movie.douban.com/subject/35461578/
2025-12-31,匿杀,"['犯罪', '悬疑']",['中国大陆'],2193,https://movie.douban.com/subject/36073533/
2025-12-31,不过是上班,"['喜剧', '奇幻']",['中国大陆'],154,https://movie.douban.com/subject/37193378/
2025-12-99,狂怒沙暴,"['喜剧', '动作', '惊悚']","['中国大陆', '美国']",4745,https://movie.douban.com/subject/27042557/
2025-12-99,我们意外的勇气,['剧情'],['中国台湾'],1241,https://movie.douban.com/subject/36953756/
2026-01-23,爆水管,"['喜剧', '犯罪']",['中国大陆'],791,https://movie.douban.com/subject/37134618/
2026-01-99,重返寂静岭,"['剧情', '奇幻', '恐怖']","['法国', '德国']",10081,https://movie.douban.com/subject/34965089/
2026-04-03,凌晨两点半3,"['惊悚', '恐怖']",['中国大陆'],70,https://movie.douban.com/subject/36990246/
2026-05-01,千金不换,"['剧情', '喜剧']",['中国大陆'],2496,https://movie.douban.com/subject/36918875/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],86841,https://movie.douban.com/subject/36212391/
